customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,customer
6928.601611,22907,180,13,86,2,1,49.18776,95006
14318.44839,22697,186,35,39,1,8,892.8,60037
5107.071054,70174,64,18,80,0,7,128.90032,71171
17223.89108,85378,107,7,4,0,2,513.6,58898
7516.831717,31477,94,22,77,0,3,146.950756,98595
5389.499465,66429,136,35,93,0,1,57.712985,94555
6275.155361,0,90,15,55,0,3,900.242038,60886
4722.237214,0,65,29,32,0,3,655.489027,84844
6282.317743,0,172,23,6,0,1,141.460349,76810
7986.191274,74217,100,35,3,0,6,418.005524,41129
6503.219978,46298,88,11,82,3,4,128.292466,41280
4881.753428,0,135,0,86,0,1,648.0,65984
2514.59196,43860,65,15,58,0,1,156.124914,99484
7955.442668,0,69,11,5,0,2,331.2,39121
4809.21696,48029,61,7,52,0,9,292.8,49336
9696.548818,86830,123,18,5,0,3,480.533246,43486
8709.321889,0,77,29,21,0,2,509.100577,15252
2858.452328,40706,71,30,96,0,1,166.123172,83547
5233.949019,69231,65,19,7,0,9,193.243084,55901
13494.76017,0,132,13,33,0,2,950.4,98142
6870.607058,0,105,5,87,0,3,756.0,43363
5652.72374,16171,74,8,36,0,4,311.004168,67541
2345.262087,51397,61,20,61,0,1,292.8,21901
19688.31898,83879,69,3,66,0,2,212.148485,38124
7247.206475,63267,92,22,31,0,8,530.340202,89851
6085.304178,44712,82,19,14,2,8,537.78416,58700
5480.070226,59311,69,8,38,0,9,14.812808,40259
6876.309925,81957,86,23,76,0,4,433.426544,63229
5368.887709,59601,67,28,2,0,6,321.6,31035
8283.066678,71034,103,26,15,0,3,494.4,30054
5384.671725,13103,72,21,32,0,7,458.003651,56340
3508.569533,20978,98,19,96,1,1,1176.2788,44127
8427.172486,46503,215,4,21,1,1,1032.0,79527
4553.809528,61064,113,32,77,0,1,539.774172,36767
4318.433036,17572,110,0,35,0,1,639.769748,43749
14091.19449,99823,116,2,64,0,2,250.183388,96228
8693.631249,17453,118,12,70,1,9,566.4,40993
6661.181553,55663,166,19,63,0,1,194.739777,80983
2654.380994,73196,66,0,93,1,1,85.809817,54664
4428.031583,58577,110,6,62,0,1,303.872752,12556
5738.277584,88055,71,11,37,0,6,337.727542,88451
5815.049178,0,80,17,96,0,5,384.0,93659
4425.905071,80892,110,15,76,0,1,528.0,20178
2574.020376,34990,65,23,73,0,1,42.689135,50464
2832.513487,37124,72,4,17,0,1,430.518791,64216
4876.315707,22236,62,3,45,0,4,409.425049,91056
5181.620895,97131,64,5,80,0,6,307.2,13494
5947.215835,67760,74,19,19,0,3,465.278453,47565
2563.863345,0,69,13,74,0,1,97.691104,14259
15144.40954,0,62,6,44,1,2,307.649586,66741
5558.304507,37473,70,0,92,0,3,336.0,46898
8109.364607,32314,68,17,77,0,2,326.4,73855
15638.57599,49214,102,0,82,3,2,371.322406,82227
8334.317162,49851,69,27,85,1,2,331.2,75737
10418.31143,27951,91,32,4,0,2,436.8,50265
6846.150323,0,95,13,20,0,5,456.0,82364
9403.875138,56410,117,13,73,0,3,523.99823,47345
16985.49688,22497,212,15,71,0,7,1017.6,51592
21101.21422,61347,106,27,66,0,2,604.237801,36069
2914.955295,37803,74,26,51,0,1,355.2,32080
8593.866533,91276,105,14,4,0,4,504.0,98656
6861.745956,30816,87,10,43,0,4,237.57033,31904
2680.900678,41968,67,11,96,0,1,183.207703,47493
15797.98978,35754,199,21,54,0,3,612.973779,18273
2863.312165,36706,71,4,45,0,1,435.606086,80173
30061.69259,48258,249,12,86,0,2,1195.2,76775
10682.7619,52965,134,6,77,3,4,83.815183,82641
2746.90319,0,84,25,44,0,1,604.8,41789
2388.949198,0,65,8,5,0,1,455.644704,74039
13776.74135,62634,116,10,89,0,2,122.017931,27428
17263.64048,96917,61,24,2,0,2,71.942176,57220
4669.22664,76157,116,15,80,0,1,556.8,62056
4673.196379,53219,117,24,36,0,1,561.6,92481
4347.591949,81412,109,1,29,0,1,344.294164,97765
33873.18123,59744,105,1,79,0,2,476.486416,82211
9100.787395,38898,117,26,68,0,3,561.6,88726
6358.251692,0,94,19,98,2,4,17.938979,46007
2628.468543,99961,66,6,54,2,1,316.8,69461
7193.101159,30886,91,7,53,0,4,103.424766,63927
5039.869278,35984,128,7,68,3,1,275.577631,76013
3962.825542,0,125,27,97,4,1,539.5622,35792
6425.709981,0,181,13,16,0,1,1303.2,63802
15672.69696,0,139,4,35,0,2,667.2,29413
3237.996209,60244,83,3,72,3,1,326.281835,23932
12992.27561,0,72,8,61,0,2,518.4,26148
22217.96796,37553,187,34,7,0,2,897.6,51818
4931.258363,0,73,24,47,0,3,525.6,47195
4330.38602,60475,107,9,18,0,1,513.6,50634
8296.176276,0,111,3,59,0,9,672.91665,42314
8334.359986,0,136,7,61,2,3,979.2,77009
5348.071007,25545,69,19,49,0,9,331.2,85480
2398.740007,24182,66,12,32,0,1,316.8,93780
6622.05254,80979,84,32,27,2,3,25.961213,51071
4155.946211,0,62,8,20,0,7,446.4,74127
8430.059143,0,74,20,3,0,2,47.502366,52241
2545.518369,29250,64,27,30,0,1,308.240792,66545
5004.583872,33566,63,25,56,1,4,205.043307,70928
2899.702858,65247,72,14,55,0,1,381.238176,36262
6767.806751,39650,86,18,8,0,6,922.335972,85165
3123.080994,0,101,1,83,4,1,960.115399,26717
8184.691323,82680,68,8,86,0,2,326.4,90092
7636.279594,0,111,30,86,0,3,799.2,70684
9227.567263,0,129,15,42,0,3,619.2,13851
7587.337272,0,69,17,60,0,2,460.741097,73726
2191.133237,0,61,9,16,1,1,439.2,65977
5004.135361,86834,64,2,93,0,8,0.099007,74093
4794.931261,46143,122,15,85,0,1,223.028356,11074
26730.06042,21275,240,3,58,0,2,1152.0,65139
4260.765808,47746,106,9,4,0,1,246.696768,49333
15477.27854,51675,196,11,86,0,5,940.8,78424
5126.836814,85522,64,1,56,0,3,165.002742,68648
4068.092649,0,63,3,35,4,4,753.22565,22403
17712.20524,0,84,17,5,0,2,633.294203,26460
9775.816061,55632,123,35,98,0,7,478.609999,21909
20534.39224,0,93,24,25,0,2,669.6,78865
5800.188903,0,78,32,37,0,5,374.4,23103
3319.620511,69152,89,8,83,4,1,221.359492,43172
6529.431827,13476,67,3,30,2,2,433.588181,36062
7602.663689,0,105,2,84,0,5,914.538629,29837
2839.808041,33252,71,20,4,0,1,407.668083,72799
3288.209809,0,102,16,1,1,1,734.4,67558
15031.5645,59456,189,11,7,0,8,907.2,62488
5055.902381,88989,63,19,28,1,3,232.745161,92714
8012.917253,0,107,17,39,0,5,513.6,76805
8300.70769,17034,113,11,40,0,6,542.4,46798
2516.103555,88435,62,16,61,0,1,136.263492,56290
2749.407985,71445,70,6,95,2,1,336.0,35186
8071.334962,72149,101,18,43,0,6,69.310166,84620
2867.312197,23376,78,19,18,0,1,374.4,27547
7285.030983,44788,61,6,48,0,2,386.031248,95102
4118.588554,69379,103,14,79,0,1,494.4,26788
5293.368089,38521,134,15,71,0,1,557.184015,25077
13265.96256,34482,67,4,6,0,2,83.830109,91897
2369.439009,0,68,35,35,0,1,487.345606,38095
9816.528302,37256,62,15,7,0,2,128.969729,84623
21914.40548,77311,181,18,36,0,2,113.609508,69763
5143.88351,39268,66,30,96,1,9,188.870427,90665
3136.698216,59644,79,15,94,0,1,379.2,53186
7713.819259,0,68,2,33,0,2,326.4,57104
2867.312197,23376,78,19,18,0,1,374.4,93551
11516.40557,50854,73,15,72,0,2,101.489422,18337
15025.19126,35158,76,14,27,0,2,165.958605,22744
4013.849907,15413,106,4,67,0,1,508.8,27683
3288.825448,17860,99,16,0,2,1,656.122925,11651
13736.1325,16181,181,22,79,0,8,1261.319869,73388
3890.87081,91182,96,8,90,0,1,249.140907,70569
5701.277221,41154,72,6,7,1,8,345.6,94413
2590.214327,18746,68,21,93,0,1,326.4,59138
3223.331519,70277,80,23,4,0,1,84.818806,58698
4912.025292,0,66,23,38,0,4,668.158687,57081
6532.010543,24919,84,21,2,1,5,420.420755,82475
8012.124825,0,79,22,82,0,2,335.234102,60187
3731.504584,0,96,31,34,0,1,460.8,73558
2702.380487,46370,68,28,86,1,1,326.4,15032
23207.24981,89918,115,14,42,0,2,423.116739,95160
3347.028677,37138,85,4,13,0,1,612.0,52867
8382.630118,19683,117,17,41,1,9,561.6,53775
11793.12528,32214,100,5,6,0,2,296.560998,94778
2965.71995,26472,74,22,31,0,1,355.2,96266
5646.323845,39841,72,9,40,0,5,440.128707,53289
2452.491364,51085,62,4,58,1,1,406.902001,39594
5953.213546,61006,74,6,99,0,9,73.919629,93892
12883.81001,34148,109,27,30,0,2,451.566751,51000
2471.528431,95697,61,16,55,0,1,114.273025,74855
2927.07045,75685,73,35,47,0,1,369.918482,64781
8400.788878,20870,72,20,90,0,2,345.6,57676
2729.126448,66900,68,15,20,0,1,326.4,42497
7643.068919,0,106,22,51,1,8,508.8,91717
2493.591571,37043,68,25,89,3,1,30.984936,39817
4170.572119,42837,106,15,39,0,1,290.580543,20940
4908.207958,33305,62,3,12,0,5,353.77899,60943
3891.583881,0,103,8,35,0,1,558.281543,48518
2682.423898,24823,69,23,66,0,1,229.279059,17749
10003.24729,98192,84,2,64,1,2,403.2,50601
13094.60875,88249,108,9,71,0,2,244.803741,78245
5719.785738,54585,71,33,39,1,3,340.8,96373
9393.968332,39770,117,11,37,0,3,561.6,62680
3433.82408,85367,85,27,20,0,1,67.975243,63935
4932.878744,74809,61,7,35,0,3,283.787384,30714
13610.10746,50144,114,0,35,0,2,786.934186,61329
2913.323811,20075,79,7,2,1,1,483.731784,91656
5111.304579,76448,63,9,13,0,3,302.4,94619
4540.381153,59556,113,11,86,0,1,681.505066,38507
5598.273622,14174,72,1,62,0,8,345.6,36549
9638.066778,35230,61,27,2,1,2,16.214764,91434
9801.287358,0,91,33,38,0,2,436.8,43077
5504.139033,0,73,18,45,0,5,350.4,10110
8447.801005,0,114,2,45,0,7,547.2,58588
19927.63513,51352,66,21,87,3,2,95.661376,12602
5815.261714,76675,72,5,38,0,9,141.718568,55947
18690.34066,0,68,6,94,0,2,326.4,60344
7224.235434,0,72,27,21,2,2,297.419028,44803
8595.982289,94242,71,35,7,1,2,41.229484,81331
12362.08766,0,113,4,92,0,2,217.92632,33989
4916.303715,71153,122,1,94,0,1,209.019238,30637
8935.274872,63326,225,5,99,0,1,1080.0,50070
5433.214031,29629,71,21,51,4,5,228.443418,42325
4847.24253,0,69,0,32,0,7,599.152722,50209
5714.165863,23726,74,1,83,0,9,355.2,35025
10097.68732,48999,86,6,65,3,2,412.8,13788
4726.869327,13037,124,28,49,0,1,839.348464,21172
7079.790277,24245,63,0,22,0,2,302.4,10476
5395.434909,44047,137,12,38,0,1,969.232217,83615
9452.996411,91942,117,34,61,0,3,561.6,77881
5284.312599,37640,67,25,74,0,4,174.046849,37101
20215.3918,77058,63,16,42,0,2,119.331041,13528
2510.054168,0,73,29,38,0,1,525.6,78503
19884.91592,63755,62,28,40,0,2,291.860708,19967
4014.453113,37384,99,9,17,0,1,475.2,13798
2540.689797,42557,65,4,35,0,1,57.562324,18530
27382.81893,45473,76,10,29,0,2,188.938397,18433
4875.31604,10743,70,12,64,2,8,336.0,29328
12324.2654,0,113,5,90,0,2,813.6,75176
2280.386988,0,61,16,29,0,1,283.881697,25161
4165.994433,0,64,27,32,3,5,575.890362,82777
4974.801539,75644,65,5,68,3,9,467.803638,49281
2404.917967,63455,61,26,71,0,1,287.654819,19492
3032.816016,73782,76,11,97,0,1,111.622054,88168
2891.272351,80590,71,4,19,0,1,134.158389,53620
15261.41386,59797,127,4,50,0,2,609.6,90123
5015.009472,48567,130,12,15,0,1,624.0,33446
5325.394799,62470,66,34,84,0,4,243.766542,11227
5291.395332,57338,66,9,85,0,3,316.8,32671
16107.19004,63288,199,12,92,0,5,558.433218,10467
7605.637524,55281,192,22,68,1,1,921.6,95092
3065.365332,22985,77,4,65,0,1,458.056054,43637
6245.575806,39608,78,14,15,1,7,22.961216,82691
9406.381948,99189,117,27,27,0,3,75.302707,40738
7815.46882,0,112,27,46,0,4,574.102379,83471
9747.99401,0,92,7,89,0,2,514.360634,63091
4686.469674,58089,118,31,83,0,1,566.4,75025
8869.619888,81350,110,1,28,0,9,228.185834,15789
4741.808942,0,65,2,73,0,8,731.289267,13204
24178.68478,43704,201,29,67,0,2,1064.482165,48006
7951.777533,75497,100,5,72,0,3,71.773341,69837
6762.082924,40372,85,15,17,0,4,76.975713,49408
3044.78946,17489,85,31,28,0,1,587.689075,51938
5908.16294,86277,74,19,33,0,3,212.039619,62426
4574.547243,0,63,3,5,0,6,453.6,31850
8377.499751,0,74,14,38,0,2,355.2,50567
22332.43946,49078,97,10,3,0,2,484.013411,26667
5838.89915,81082,73,5,85,0,4,281.295903,73578
7577.065297,0,116,20,9,2,6,835.2,23958
8012.841201,40635,102,4,45,0,6,489.6,75571
9217.978125,26351,119,14,87,0,7,571.2,60881
2749.189304,0,80,15,83,0,1,824.487259,15807
3588.87609,42836,89,32,99,0,1,244.580023,15684
3954.538361,40175,102,34,78,1,1,154.721555,17533
3230.576665,62873,81,0,41,0,1,207.75186,98086
5158.648497,0,74,24,98,0,5,588.936956,48850
2776.582901,50985,71,7,31,0,1,307.68931,25875
12836.00951,0,116,6,28,0,2,835.2,59568
28421.57022,42803,245,21,56,0,2,889.288242,52886
2276.392936,0,69,34,13,1,1,624.980751,28833
3895.961837,35970,98,29,81,0,1,470.4,60915
4247.683347,44537,106,13,42,0,1,441.907057,42084
6005.847375,13528,86,21,35,0,3,412.8,93283
2719.506996,14030,72,11,3,0,1,345.6,51811
4185.757242,0,64,0,56,0,3,492.644465,51023
33473.34946,33190,106,18,95,0,2,508.8,67659
7331.508054,0,100,1,25,0,4,61.580247,45566
9320.284812,21033,118,5,22,0,8,738.975495,68229
3312.323945,26285,84,7,1,0,1,403.2,84144
5560.278162,0,74,29,52,0,8,65.953005,28312
8214.602384,73245,68,33,48,0,2,305.121363,48045
8647.139152,0,119,5,31,0,3,244.816163,67642
4446.738622,0,61,32,42,0,3,616.279356,12295
7769.841954,74365,193,11,85,0,1,926.4,66550
3911.118202,30821,97,27,59,0,1,451.319227,27471
2731.520409,69844,68,5,9,0,1,184.379697,94479
8401.788653,0,124,15,86,0,8,595.2,58220
5875.038074,55836,73,8,87,0,7,314.936185,64920
6188.379423,40352,77,31,33,0,3,406.367233,58695
4506.577736,14985,116,12,45,0,1,571.319514,93181
10548.53703,27458,131,18,62,1,3,730.373515,23548
35203.57475,56343,295,11,69,0,2,1612.962321,71194
8193.750001,12780,111,17,53,2,6,225.437098,46430
5313.436344,68558,131,16,11,0,1,280.903779,83694
4379.770178,47747,111,31,76,0,1,165.588524,19977
20885.55547,16113,81,27,19,0,2,494.890996,83942
2771.963072,0,79,6,55,0,1,379.2,62410
5461.548993,39626,69,23,0,0,3,485.705851,72177
2570.235172,49304,65,28,48,0,1,312.0,89801
2227.072755,27972,61,7,38,0,1,292.8,53430
5394.000979,27568,68,0,62,0,3,278.689331,50999
2300.691547,25905,63,21,12,0,1,302.4,17193
25360.10404,21442,108,16,83,0,2,518.4,42776
4374.038985,34516,113,12,70,3,1,42.950852,19432
4953.358432,0,68,11,90,0,4,342.468248,34834
4590.811214,28354,118,33,20,0,1,320.327775,65698
5062.37379,0,72,22,58,0,5,345.6,85969
9075.768214,37722,116,8,23,0,8,158.077504,72928
8133.157212,32021,70,12,58,0,2,336.0,47358
2869.301319,13393,73,31,11,0,1,34.708194,50405
27937.75093,13624,117,4,11,0,2,561.6,53151
2606.186321,27800,67,9,78,0,1,321.6,64777
7764.273102,58419,191,29,6,0,1,202.468807,21289
18380.39026,50407,92,30,67,0,2,352.060768,85251
6102.953572,0,84,0,76,0,4,856.347474,61361
9191.672825,77603,114,10,83,0,8,547.2,26401
9581.281433,75606,119,6,97,0,7,571.2,91476
7532.262392,41458,98,6,67,0,3,191.100227,16410
2795.321353,0,74,6,61,0,1,420.765993,17208
5673.840992,0,82,13,87,0,7,445.001296,70403
15016.18511,70619,187,2,84,0,3,293.948632,22858
3087.249746,41273,77,16,19,0,1,221.226696,75048
5480.701059,46946,70,10,37,0,9,336.0,31328
7944.973807,0,113,10,97,0,9,542.4,91150
8543.247323,99180,106,15,20,0,3,33.751887,77957
5380.898636,55350,67,0,13,0,9,321.6,34656
4650.063763,28215,65,15,26,0,3,468.0,99404
36946.06393,75425,116,25,88,1,2,663.643801,58313
3314.55133,63583,83,15,8,0,1,167.39959,60020
4566.377261,0,66,27,28,0,3,475.2,53467
5597.12496,37995,139,16,50,0,1,667.2,11062
2540.551456,37125,63,29,78,0,1,290.911693,11531
2939.330187,53357,73,4,77,0,1,55.320014,80614
16068.34838,70140,199,25,15,0,7,955.2,70693
7360.873696,52380,186,27,76,2,1,892.8,45326
2700.985899,79292,67,18,58,0,1,55.394702,17940
3095.705571,0,92,31,24,1,1,774.892461,25133
4383.751482,0,123,14,97,0,1,1480.336748,57215
9928.874825,75425,123,3,49,0,6,823.798803,94072
2399.17815,20992,64,21,73,0,1,307.2,28543
3402.777293,57428,85,34,40,1,1,414.649796,13219
8711.302422,92606,109,26,75,0,3,287.437831,80689
4358.762008,86001,109,4,27,1,1,523.2,10245
2551.226692,79751,63,15,67,0,1,392.235698,96556
5642.747998,68654,71,32,21,2,9,208.048487,61336
4151.667368,0,61,7,71,3,9,208.892861,94482
2842.025913,92629,72,22,1,3,1,60.845685,57337
8791.444942,54094,112,9,51,0,4,502.994931,35936
8268.272933,95419,70,6,61,3,2,336.0,41800
8581.637267,66466,71,20,35,0,2,293.016168,70742
5244.40475,68131,130,22,27,0,1,226.607648,32112
8509.019846,56481,106,7,17,0,3,273.250112,85895
4743.615503,70082,119,17,23,0,1,571.2,40646
22754.66137,51437,115,35,30,0,2,244.086665,39856
5335.015944,0,73,6,97,0,9,525.6,85216
6966.319103,27972,90,13,7,0,8,240.318607,69117
21205.37785,24930,76,7,16,0,2,364.8,58852
4271.200049,26245,110,6,43,0,1,44.284642,61865
5580.818466,57883,69,4,0,0,9,431.847824,11560
2224.089639,0,64,20,4,0,1,483.25721,12562
2709.539796,58828,68,13,98,0,1,446.751243,46404
2890.338106,51906,73,29,78,0,1,374.864662,26786
6403.577368,28095,82,18,2,0,8,393.6,55425
5981.381645,88723,74,12,94,0,8,355.2,75038
6225.022266,53078,79,29,81,2,8,200.97608,22387
8496.358981,88895,106,0,87,0,8,209.863509,94034
10213.99111,60078,127,23,60,0,3,140.819942,16362
4547.162694,0,67,26,4,0,3,321.6,10177
5741.696078,45820,71,4,89,0,8,249.742856,35546
2388.353882,0,73,12,84,0,1,677.970934,12432
12624.96121,12439,115,22,78,0,2,552.0,71709
8382.478392,25998,71,16,38,0,2,791.878042,61518
4964.666365,98451,62,19,57,0,3,316.546868,75847
2871.437451,23803,72,11,90,0,1,410.548521,47378
13080.78528,0,124,12,58,0,2,595.2,22677
2482.411991,26100,67,6,29,0,1,482.4,62406
2726.834065,0,73,8,63,0,1,376.923839,20668
4776.186527,0,67,10,38,0,9,315.215329,79232
6091.89923,65252,78,27,75,0,9,482.48791,87457
5015.009472,48567,130,12,15,0,1,624.0,59231
9035.671134,34337,113,20,44,0,9,542.4,54619
4381.880534,20394,115,28,84,0,1,508.614758,27257
5775.517825,0,76,20,17,0,6,784.611446,86528
4250.282624,0,61,17,1,1,7,292.8,34823
2347.048112,31617,62,17,29,1,1,244.269407,24005
6940.069184,0,62,31,30,1,2,297.6,96574
2572.506605,21104,66,34,74,0,1,118.454974,80093
41491.74481,37748,181,21,22,2,2,868.8,24990
3571.346578,0,96,19,30,0,1,438.661509,39751
12734.21253,25023,82,31,38,0,2,397.139856,80677
4529.112791,0,62,22,57,0,9,271.164139,74893
4177.876779,14108,109,27,88,0,1,523.2,59196
9824.745841,23923,82,29,61,1,2,393.6,77449
2430.801647,0,67,1,19,0,1,321.6,38996
19160.98994,22705,239,19,59,0,7,1294.700423,86361
3301.518961,0,89,10,83,0,1,427.2,13204
4692.098956,0,69,31,89,0,5,506.92275,63623
8092.87696,50825,102,3,46,0,3,369.614729,33625
3964.534974,14616,106,16,23,0,1,575.260213,18904
2497.531509,0,69,5,74,0,1,272.381465,26615
9656.212573,29504,125,16,29,0,9,1224.56345,44648
8888.143979,58789,111,4,69,0,3,215.438825,60568
7347.410517,29491,61,26,62,0,2,292.8,78545
8578.364528,78077,107,11,47,2,6,438.069458,19773
3467.323976,0,96,2,53,0,1,799.251165,45417
8901.468512,76558,74,2,45,0,2,216.980413,58659
2619.337376,78618,66,7,56,0,1,225.578841,84089
8838.085637,82664,114,24,10,3,9,133.425609,91968
10127.77087,23053,132,5,97,0,8,780.941649,63627
4633.452912,50250,117,3,93,0,1,561.6,62955
7796.000083,32169,199,0,74,0,1,785.82348,11786
2993.024583,0,80,28,97,0,1,286.115778,13955
7985.472561,99069,66,7,28,0,2,77.442722,91291
3508.569533,20978,98,19,96,1,1,1176.2788,89785
2722.210707,17576,71,29,70,0,1,398.502948,40898
2783.583044,42297,71,29,62,0,1,200.38673,40816
8649.997286,0,115,0,3,0,3,824.597262,82395
4652.91278,0,63,21,23,0,7,151.231247,23827
8395.806331,0,110,22,72,0,9,161.092415,61186
8804.53711,48990,74,3,20,0,2,355.2,31268
7155.337765,16916,64,31,31,0,2,377.512951,98462
3954.344534,18375,103,8,50,0,1,535.080276,82456
15032.9003,17150,65,28,19,0,2,689.800891,14211
8257.666512,23815,73,4,47,0,2,424.330166,12619
9256.918609,21947,118,30,76,0,9,566.4,31071
6507.751779,0,97,4,11,0,4,863.219668,36555
2530.705137,89451,63,11,2,0,1,61.769564,83611
5482.549359,79325,68,4,31,0,4,251.294821,85036
4050.506193,88454,101,8,89,0,1,308.749796,54870
6326.679236,0,87,2,41,0,3,417.6,52189
2627.76229,20943,69,0,86,0,1,240.00056,48526
7814.604545,51972,66,19,22,0,2,316.8,52227
6314.579645,54408,79,29,17,0,4,288.329793,98569
6386.278164,23751,82,4,9,1,7,586.921708,48083
2537.969253,37612,64,0,32,0,1,307.2,19551
5335.375586,91603,69,4,92,2,3,472.67262,13380
4549.079221,0,62,12,53,0,3,639.758314,25004
4836.21886,16450,128,6,81,0,1,871.484565,50693
6478.801192,50864,83,18,86,1,4,158.362972,45099
35440.14262,74560,110,31,20,0,2,528.0,69696
2404.380963,62488,62,35,47,2,1,200.689331,43359
9264.565015,55837,117,16,35,0,9,741.867506,63954
2433.024631,0,66,12,71,0,1,475.2,71044
5367.089817,97742,67,33,57,0,5,67.648392,79451
2452.360892,0,69,13,75,0,1,496.8,84292
8646.504109,64125,108,3,44,0,3,369.818708,67584
4340.086445,0,62,22,39,0,6,446.4,90180
4930.949334,70412,61,27,12,0,3,136.291083,35482
5292.632491,0,70,13,8,0,3,336.0,84949
8986.610653,66267,111,23,95,0,3,1093.708851,46129
5619.967791,0,82,14,23,0,6,863.935307,35544
10340.45566,40882,89,6,17,0,2,393.637436,82387
6369.262355,34498,83,30,72,0,7,398.4,40054
2767.5949,0,74,0,52,0,1,355.2,96510
4831.421687,23228,64,4,0,1,6,307.2,11907
4282.947971,40864,109,16,70,1,1,166.937747,57177
5718.276608,46133,73,7,78,0,5,19.626306,77646
2580.849899,46900,66,13,59,0,1,316.8,19736
6481.382268,0,92,1,17,0,6,441.6,69749
5133.414764,53390,64,13,41,0,5,278.999409,22117
9369.639891,99185,115,8,19,0,3,449.428182,60825
3196.578455,62815,80,14,84,0,1,47.061469,89380
4720.608872,26277,61,17,30,0,4,292.8,87443
8861.900439,41854,110,17,44,0,8,481.269644,33206
6032.737631,0,86,4,56,0,8,412.8,98823
6832.36853,66627,85,32,55,0,8,733.21126,34991
2242.090803,12131,64,32,60,1,1,251.44949,53627
4157.698118,0,110,4,61,0,1,528.0,39691
6189.122455,0,90,4,18,0,5,648.0,96776
5643.724704,33317,72,18,31,1,3,345.6,84784
5332.462694,68931,66,32,30,0,7,309.577946,90140
2121.313061,0,67,6,60,1,1,321.6,71844
8281.740124,19189,108,21,9,0,3,518.4,69023
7835.929299,49390,195,31,15,0,1,738.05105,32481
2552.913868,33124,67,35,7,0,1,80.119997,79988
2795.410029,40516,70,21,31,0,1,137.168874,48071
8007.399376,0,112,12,93,0,3,537.6,48891
6886.324494,34615,87,6,73,0,7,417.6,37277
5106.781547,29894,72,9,69,4,3,16.510134,80673
5612.375586,0,79,32,2,0,3,379.2,69462
5658.912313,0,84,32,96,0,4,847.490817,86238
7263.599744,86732,180,0,95,0,1,204.373113,51616
8712.157741,68516,216,17,0,0,1,95.693949,89213
9198.685111,31562,115,14,6,0,3,552.0,96695
5162.370678,0,74,33,92,0,4,582.420512,55306
6289.946999,24477,79,15,32,0,3,379.2,36609
3649.708655,0,100,31,80,0,1,480.0,43395
6766.558551,20046,87,15,59,0,3,417.6,32060
4631.011293,78152,114,18,35,0,1,547.2,51056
6810.52531,0,65,7,47,0,2,733.522405,71218
9378.634228,36067,117,30,78,0,3,561.6,19456
15762.53198,44362,66,15,75,0,2,142.113373,60878
2635.505781,77350,66,11,4,0,1,316.8,32944
5741.72743,86641,71,17,79,0,6,161.752532,70473
8414.942855,72258,105,8,50,0,4,12.497538,64251
9123.911266,70737,114,25,12,0,4,741.655597,38796
15994.008,0,159,19,75,0,2,1410.16929,12294
9022.08313,0,125,7,99,0,3,988.535078,89453
4759.664624,0,81,10,80,3,3,388.8,39439
3993.882994,17672,110,28,16,0,1,792.0,71087
18853.73945,0,173,24,21,0,2,1245.6,54600
8840.193762,47297,115,10,46,4,4,796.130111,43859
6696.903521,57240,83,18,79,0,7,83.652384,28293
8476.082867,28181,109,32,41,0,3,523.2,48189
5205.748188,31275,66,26,0,0,3,316.8,34848
6141.961623,0,182,24,45,0,1,1310.4,57012
4376.363592,63774,111,18,63,0,1,60.036683,82757
12375.02163,78441,103,6,73,0,2,613.866905,12214
3451.10244,0,104,19,65,2,1,499.2,97649
8107.26533,0,76,0,91,0,2,364.8,42706
8662.048958,0,117,0,65,0,4,511.422666,74449
8696.907111,91423,109,3,71,1,5,435.796252,77669
2535.266473,86933,63,3,64,0,1,269.563038,25704
5633.741543,65255,72,3,65,2,3,321.457124,34922
5176.730072,41533,65,2,46,0,9,232.879766,17555
5531.723723,50097,71,25,81,0,5,17.484679,71157
2810.671023,73858,72,8,59,3,1,422.59237,91592
2780.729047,94943,69,3,22,0,1,387.545055,37953
2572.452634,72685,68,20,97,5,1,14.464783,85206
7664.219255,60184,199,7,44,1,1,161.61574,23514
3839.746159,0,106,29,38,0,1,763.2,23352
2509.268453,74045,64,23,83,0,1,307.2,80067
14566.09246,52564,122,33,28,0,2,42.131925,10835
3220.775528,19098,87,35,3,0,1,417.6,15942
3199.824902,78784,80,33,72,0,1,239.964694,22886
16045.10952,0,65,10,10,0,2,163.046956,70429
4918.916267,29256,63,33,41,0,5,302.4,84266
5623.757656,77912,71,2,21,1,3,23.89816,48715
5677.465907,45345,72,28,86,0,3,99.039453,46866
3016.444225,25630,86,8,63,0,1,412.8,94611
5279.124682,22280,68,10,48,0,3,169.414572,94889
4803.935174,0,69,31,25,0,7,496.8,62538
2608.786334,61567,65,35,78,0,1,39.532978,13133
7832.569008,34644,66,7,36,0,2,316.8,65961
4260.33573,26991,119,34,65,0,1,856.8,85760
2369.369299,49746,61,5,88,0,1,624.42874,35621
20604.01627,0,72,8,61,1,2,723.010515,11644
2652.067994,49625,66,29,9,0,1,261.549577,53243
2597.864075,49308,65,7,97,0,1,150.235884,53081
7712.436971,63624,95,10,5,0,5,175.243467,57541
4698.88415,80358,116,19,2,0,1,443.637243,27249
3403.919366,38460,88,15,1,1,1,91.55098,85112
4355.702301,0,64,22,22,0,4,460.8,47847
